,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,souillac,40,MU,1580954289,83,-20.52,57.52,299.15,4.6
1,punta arenas,100,CL,1580953994,70,-53.15,-70.92,282.15,2.44
2,bengkulu,89,ID,1580954174,61,-3.8,102.27,303.15,0.86
3,rio gallegos,20,AR,1580954292,57,-51.62,-69.22,283.15,3.1
4,bluff,42,NZ,1580954292,66,-46.6,168.33,287.59,7.15
5,la asuncion,5,VE,1580954293,78,11.03,-63.86,300.15,8.2
6,jamestown,90,US,1580954190,63,42.1,-79.24,272.59,3.1
7,cape town,20,ZA,1580954283,72,-33.93,18.42,292.04,7.2
8,busselton,0,AU,1580954295,40,-33.65,115.33,303.71,3.53
9,sao filipe,0,CV,1580954296,65,14.9,-24.5,295.5,6.82
10,villaviciosa,13,ES,1580954296,93,43.48,-5.44,279.26,0.5
11,rikitea,100,PF,1580954297,80,-23.12,-134.97,299.77,7.22
12,tuktoyaktuk,40,CA,1580954297,75,69.45,-133.04,244.15,5.1
13,wajid,100,SO,1580954298,57,3.81,43.25,294.66,8.26
14,kodiak,90,US,1580954086,71,57.79,-152.41,275.15,6.51
15,vertientes,75,CU,1580954298,83,21.26,-78.15,297.15,1.5
16,mataura,53,NZ,1580954299,66,-46.19,168.86,287.59,7.15
17,hervey bay,75,AU,1580954299,83,-25.3,152.85,301.48,2.6
18,ushuaia,98,AR,1580954300,57,-54.8,-68.3,282.15,0.99
19,puerto ayora,29,EC,1580954300,84,-0.74,-90.35,298.96,4.19
20,vaini,40,TO,1580954301,83,-21.2,-175.2,302.15,4.6
21,barrow,1,US,1580954301,98,71.29,-156.79,237.15,2.6
22,hilo,90,US,1580954302,83,19.73,-155.09,297.59,2.6
23,chuy,0,UY,1580954302,82,-33.7,-53.46,296.44,6.46
24,cilegon,75,ID,1580954303,88,-6.02,106.05,300.15,2.6
25,acajutla,0,SV,1580954158,71,13.59,-89.83,301.15,3.51
26,kenai,90,US,1580954304,86,60.55,-151.26,272.04,1.28
27,clyde river,75,CA,1580954305,75,70.47,-68.59,246.15,11.3
28,aklavik,75,CA,1580954305,75,68.22,-135.01,246.15,2.6
29,tasiilaq,100,GL,1580954306,92,65.61,-37.64,269.15,1.0
30,general pico,6,AR,1580954306,78,-35.66,-63.76,294.25,2.07
31,east london,100,ZA,1580954307,84,-33.02,27.91,294.68,6.27
32,port lincoln,0,AU,1580954307,60,-34.73,135.87,295.28,4.58
33,krasnyy chikoy,100,RU,1580954308,94,50.36,108.75,257.17,1.63
34,mitsamiouli,93,KM,1580954308,67,-11.38,43.28,301.78,1.97
35,aswan,93,KM,1580954308,67,-11.38,43.28,301.78,1.97
36,zhangye,21,CN,1580954309,24,38.93,100.45,272.65,1.42
37,marsh harbour,100,BS,1580954310,80,26.54,-77.06,296.17,6.86
38,slave lake,90,CA,1580954311,92,55.28,-114.77,271.15,0.98
39,kapaa,90,US,1580954311,88,22.08,-159.32,295.15,3.6
40,indiaroba,100,BR,1580954312,92,-11.52,-37.51,297.03,0.77
41,provideniya,0,RU,1580954312,63,64.38,-173.3,250.15,5.0
42,nikolskoye,75,RU,1580954312,92,59.7,30.79,272.15,8.0
43,mar del plata,90,AR,1580954070,94,-38.0,-57.56,295.37,5.1
44,gao,90,AR,1580954070,94,-38.0,-57.56,295.37,5.1
45,port alfred,100,ZA,1580954314,95,-33.59,26.89,292.59,0.89
46,narsaq,100,GL,1580954314,34,60.92,-46.05,275.15,2.1
47,novovarshavka,100,GL,1580954314,34,60.92,-46.05,275.15,2.1
48,arraial do cabo,75,BR,1580954315,94,-22.97,-42.03,298.15,4.1
49,riyadh,75,BR,1580954315,94,-22.97,-42.03,298.15,4.1
50,bambous virieux,40,MU,1580954317,83,-20.34,57.76,299.15,4.6
51,evensk,100,RU,1580954317,74,61.95,159.23,254.0,3.11
52,thompson,20,CA,1580954318,75,55.74,-97.86,245.15,1.5
53,tateyama,75,JP,1580954318,38,34.98,139.87,280.37,7.7
54,norman wells,75,CA,1580954318,70,65.28,-126.83,253.15,1.5
55,flinders,75,CA,1580954318,70,65.28,-126.83,253.15,1.5
56,torbay,40,CA,1580954319,67,47.67,-52.73,268.15,14.4
57,chapais,1,CA,1580954319,70,49.78,-74.85,256.15,5.1
58,sovetskiy,96,RU,1580954320,92,61.36,63.58,262.25,3.27
59,floro,100,NO,1580954321,93,61.6,5.03,280.15,5.1
60,cabo san lucas,75,MX,1580954290,59,22.89,-109.91,290.15,5.1
61,marawi,77,PH,1580954323,84,8.0,124.29,299.26,1.79
62,albany,1,US,1580954052,49,42.6,-73.97,272.15,0.86
63,mahebourg,40,MU,1580954324,83,-20.41,57.7,299.15,4.6
64,swan river,100,CA,1580954325,98,52.11,-101.27,252.59,4.94
65,wenling,100,CN,1580954326,76,28.37,121.36,285.37,0.45
66,bredasdorp,100,ZA,1580954326,88,-34.53,20.04,290.15,1.0
67,faya,20,SA,1580954326,93,18.39,42.45,286.15,3.1
68,necochea,96,AR,1580954327,97,-38.55,-58.74,293.71,0.45
69,severnoye,100,RU,1580954328,94,56.35,78.36,269.85,6.18
70,avarua,10,CK,1580954328,70,-21.21,-159.78,302.15,6.2
71,vostok,100,RU,1580954329,87,46.49,135.88,252.97,2.63
72,hermanus,100,ZA,1580954329,75,-34.42,19.23,290.93,3.58
73,ardatov,48,RU,1580954330,96,55.24,43.1,259.75,2.57
74,hithadhoo,100,MV,1580954330,79,-0.6,73.08,301.61,6.32
75,kamaishi,40,JP,1580954331,58,39.27,141.88,269.15,3.6
76,portland,90,US,1580954039,81,45.52,-122.68,284.26,2.6
